elements	Na	Al	Si	O
number	16	16	48	128
Location of ballistic to diffusif regime using linear regression curves (before 60 fs and after 500 fs).
Calculation of atomic self diffusivities using linear regression after 500 fs.
atom	Na	Na	Na	Na	Na	Na	Al	Al	Al	Al	Al	Al	Si	Si	Si	Si	Si	Si	O	O	O	O	O	O
file	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change
NaAlSi3O8_T3_nvt_a14.5.outcar.msd.dat	1.2123038031950714e-08	7.920105805600664e-12	0.99967999166153	0.007273822819170428	3.192707756700152	129.60644342431178	8.384327694164482e-10	2.199566027070397e-12	0.9948647354848508	0.0005030596616498688	1.0763709973303262	109.50030777842778	4.536529024537919e-10	1.0961906820550434e-12	0.9956399806600679	0.00027219174147227515	0.7759392446541591	107.71505154053962	7.631491804973708e-10	1.7985135525481099e-12	0.9958517540184548	0.0004578895082984225	1.2865211045235254	94.77807648797666
NaAlSi3O8_T3_nvt_a15.0.outcar.msd.dat	2.4690710292195555e-08	4.8736302844088594e-11	0.9961653443836498	0.014814426175317332	-0.49287711430058323	nan	6.469638658514821e-10	3.6023557290843198e-12	0.970278780745696	0.00038817831951088925	1.8288571755462915	136.11006087613185	6.845723060826864e-10	7.074105698161871e-13	0.9989460902239762	0.00041074338364961184	0.6228937776087391	96.86741057444243	8.018379186594339e-10	1.063924862315155e-12	0.9982635954557807	0.0004811027511956603	1.5104865400733525	102.38370312866277
NaAlSi3O8_T3_nvt_a15.5.outcar.msd.dat	3.552433948207557e-08	4.281425004052245e-11	0.9991495422002032	0.02131460368924534	1.2817044827152841	119.62412097072226	1.7565930866127394e-09	3.868989140209103e-12	0.997165232617812	0.0010539558519676437	0.19348568644843844	50.16241442574045	8.328518669439596e-10	1.5992338202208802e-12	0.997844000427524	0.0004997111201663758	0.5262866082426836	90.60131297699691	1.2963424355324918e-09	1.285551102742739e-12	0.9994240475555731	0.0007778054613194951	0.9953495905384879	83.54453227060357
NaAlSi3O8_T3_nvt_a16.0.outcar.msd.dat	2.4084218428961816e-08	3.367176465934887e-11	0.9977416393567304	0.014450531057377088	16.569736124408323	273.59817079939006	8.339067145825101e-10	1.6134802878717234e-12	0.9956835939067781	0.000500344028749506	1.0017255806670207	103.3977751077695	6.521265536030626e-10	1.2119469729113976e-12	0.9960163744839012	0.0003912759321618375	0.7428829682169882	103.77030650645727	9.267170614583762e-10	1.0543060407772023e-12	0.99850342945789	0.0005560302368750257	1.5733586214823498	102.51725535551766
NaAlSi3O8_T3_nvt_a16.5.outcar.msd.dat	3.6943345246836455e-08	4.280715569817699e-11	0.9984623573320753	0.02216600714810187	-7.7885977541968145	nan	1.325255854535083e-09	1.7031063277342537e-12	0.9981092871465926	0.0007951535127210497	1.3488818384504633	135.4353427010051	1.1197658515810708e-09	1.3005285511797737e-12	0.998455181944105	0.0006718595109486424	1.5624912238458766	164.9879258407995	1.507868456028745e-09	1.857967147427338e-12	0.9982615711535217	0.000904721073617247	2.7735996177121596	151.46123836786907
NaAlSi3O8_T3_nvt_a17.0.outcar.msd.dat	3.7413301458108656e-08	1.5718352250056738e-11	0.9998683431034641	0.02244798087486519	-0.35656922421517834	66.35759109524508	1.778836925090651e-09	5.0135246385391554e-12	0.9941090290508076	0.0010673021550543906	0.21499475228906562	59.565946239474336	1.0148305081162795e-09	2.253550934930074e-12	0.9963348489631942	0.0006088983048697676	0.9514244763994135	132.9449583030268	1.3623894920203947e-09	1.8509039995067758e-12	0.9986249880467778	0.0008174336952122369	1.9095883309066295	128.53714125945288
NaAlSi3O8_T3_nvt_a17.5.outcar.msd.dat	2.3993287863254042e-08	6.738160900759045e-11	0.9948372492660931	0.014395972717952423	17.177681670896078	293.4026406479984	1.0999765754550322e-09	4.1417766123327906e-12	0.9907572834058709	0.0006599859452730192	0.5634066145193648	86.6735991404693	9.821418241305234e-10	4.84476106120786e-12	0.9842411783996162	0.000589285094478314	0.22413930006724936	67.74161273583049	1.3508275148188726e-09	4.444040871527036e-12	0.9929286840337364	0.0008104965088913236	0.9445222724989337	92.03364243436116
NaAlSi3O8_T3_nvt_a18.0.outcar.msd.dat	4.228445276154232e-08	7.214798847062824e-11	0.9981228303106581	0.025370671656925387	-3.323583040924092	nan	1.8190431996681888e-09	3.9245090870902945e-12	0.9970021268346575	0.0010914259198009132	0.07497249022938135	38.16363155192521	1.7211380294696796e-09	3.6043945828456772e-12	0.9971748786821623	0.0010326828176818077	0.8424217926864301	124.4580576809865	2.1799485022632026e-09	1.8851910383875064e-12	0.9995171179975212	0.0013079691013579216	1.9995542570423481	131.4507268706632
NaAlSi3O8_T3_nvt_a18.5.outcar.msd.dat	3.810524375963857e-08	1.2360813242144496e-10	0.9933832436729707	0.02286314625578314	17.499540195342945	311.34658325532166	1.3232301122401003e-09	2.669094364043004e-12	0.9974311205173162	0.0007939380673440601	1.861547810093417	153.85456224278556	1.4112675892349595e-09	2.0462979605106023e-12	0.9986709383420641	0.0008467605535409758	2.0913130345915354	189.43474028838415	1.777601579325451e-09	3.914809339271943e-12	0.9969392716183911	0.0010665609475952705	3.617220744062079	172.95081445980645
NaAlSi3O8_T3_nvt_a19.0.outcar.msd.dat	2.9841717632696596e-08	6.867942858061143e-11	0.9970162913352723	0.017905030579617957	13.68240939031142	269.19886961556915	1.4822409246305089e-09	8.698208188745983e-12	0.9809145837767392	0.0008893445547783052	0.4013530312068827	74.05995229301946	1.3642059536030128e-09	5.455948675053132e-12	0.991043837097173	0.0008185235721618076	0.7783011901460242	118.96874147831903	1.8327861903846855e-09	7.368364494441846e-12	0.9909506152363236	0.0010996717142308112	1.4719497518201479	113.08444254496395
NaAlSi3O8_T4.5_nvt_a15.0.outcar.msd.dat	5.0445422065885473e-08	8.54860361820895e-11	0.9982226786324001	0.03026725323953128	8.365576604566684	187.40379871261723	1.2007387121171794e-08	3.018166462026048e-11	0.9960980371845987	0.0072044322727030765	-0.025049729063212567	35.00808058861556	1.2142894505662645e-08	7.503130567779098e-12	0.999763337493329	0.007285736703397586	1.4854625075654937	129.98721547652957	1.5078137162309673e-08	2.0455303695819506e-11	0.9988602413405397	0.009046882297385803	2.769838055969281	121.39620841344197
NaAlSi3O8_T4.5_nvt_a15.5.outcar.msd.dat	5.200363706738918e-08	8.45661514438116e-11	0.9985318770722427	0.031202182240433505	6.709261022233761	183.1869584492348	1.037583481123617e-08	6.620484978830986e-11	0.977864617304288	0.006225500886741702	7.446481368275897	214.88802613261765	1.4624873400202277e-08	2.572250611459327e-11	0.9982829980284719	0.008774924040121364	1.8710924709274792	145.58187488552616	1.6561530897198975e-08	1.751436189168573e-11	0.9993785695872324	0.009936918538319385	3.527339628683606	133.92756121519537
NaAlSi3O8_T4.5_nvt_a16.0.outcar.msd.dat	6.210986468265787e-08	1.3063952056906266e-10	0.9968994789531408	0.03726591880959472	16.325851686937227	254.5302281263028	1.5302741371801203e-08	3.174377678339748e-11	0.9969840630539741	0.00918164482308072	3.8496969182737786	167.61084393446967	1.9762726349600112e-08	1.2471590596118174e-11	0.9997201123524707	0.011857635809760066	-1.4162974350904918	nan	1.9357364820924516e-08	1.4946961337114713e-11	0.9995810263782288	0.011614418892554709	3.594674240628926	137.22023973695596
NaAlSi3O8_T4.5_nvt_a16.5.outcar.msd.dat	8.645198967075709e-08	7.825485724012514e-11	0.9994857090835411	0.05187119380245425	2.8434759672690006	171.6996304060596	2.1399892960840428e-08	1.841503645629231e-11	0.9995351854714384	0.012839935776504255	1.2344344116362933	121.4715320599467	2.4434351441806388e-08	8.29829697757303e-12	0.9999275723320461	0.014660610865083834	-0.26601859757424506	69.57014929742037	2.8183423104014846e-08	1.4376334553338834e-11	0.9998366205071919	0.016910053862408906	0.09962285342527366	64.89318378145497
NaAlSi3O8_T4.5_nvt_a17.0.outcar.msd.dat	1.0281805908066789e-07	1.3860830787192562e-10	0.9989361630456037	0.061690835448400726	-5.690035706864762	nan	1.7582416285264783e-08	3.2007642371055274e-11	0.9980617700866437	0.010549449771158868	3.2454200964903706	164.10456113668658	2.9565592668790948e-08	4.0941463691691667e-11	0.9988775592535387	0.017739355601274567	-5.765157941477412	nan	2.7173805955182584e-08	3.390121068330772e-11	0.9990887633747362	0.01630428357310955	3.2596614286587737	137.9467832093176
NaAlSi3O8_T4.5_nvt_a17.5.outcar.msd.dat	1.3360347670866462e-07	3.6038844838056896e-10	0.9959635012447495	0.08016208602519877	-8.938709330788527	nan	2.4661348184646128e-08	2.1537072256771225e-11	0.9995753702264601	0.014796808910787676	-1.2230294089304365	nan	2.54997607179749e-08	2.8112095018358613e-11	0.9993234880006641	0.01529985643078494	-0.9266602765310736	nan	2.8887429630596144e-08	2.6126679217904997e-11	0.9995445843081734	0.017332457778357686	0.8306340789376208	89.74447579010716
