elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T5_nvt_a21.0.outcar.umd.dat	5111	0.75	4.0e-14	6.5e-16	-5.74e-02	4.8e-01	9.5e-03	4997	304	>1.9e+01	4.31e-01	2.6e-02	>1.6e-03	-5.34e+00	7.0e-02	>2.8e-02	-1.110e+03	1.5e+01	>5.9e+00	-2.550e+04	3.4e+02	>1.4e+02	5.52	1.3e-01	4.59e+01	1.1e+00	2.28e+00	5.5e-02	1.59e-20	3.8e-22
NaAlSi3O8_T5_nvt_a22.0.outcar.umd.dat	4499	0.65	3.4e-15	7.0e-17	-2.16e-02	4.0e-01	8.4e-03	5001	286	>2.4e+01	4.31e-01	2.5e-02	>2.1e-03	-5.27e+00	5.8e-02	>1.3e-02	-1.097e+03	1.2e+01	>2.8e+00	-2.519e+04	2.8e+02	>6.4e+01	3.81	6.6e-02	3.17e+01	5.5e-01	1.57e+00	2.7e-02	1.10e-20	1.9e-22
NaAlSi3O8_T5_nvt_a23.0.outcar.umd.dat	4127	0.57	1.6e-14	1.2e-17	-1.27e-02	3.6e-01	7.8e-03	4999	273	>1.3e+02	4.31e-01	2.3e-02	>1.1e-02	-5.21e+00	6.4e-02	>2.6e-02	-1.084e+03	1.3e+01	>5.5e+00	-2.488e+04	3.1e+02	>1.3e+02	4.60	8.4e-02	3.82e+01	7.0e-01	1.89e+00	3.5e-02	1.32e-20	2.4e-22
NaAlSi3O8_T5_nvt_a24.5.outcar.umd.dat	4535	0.47	1.5e-14	3.2e-16	-4.57e-03	3.0e-01	6.3e-03	5002	284	>1.9e+01	4.31e-01	2.5e-02	>1.6e-03	-5.18e+00	6.7e-02	>3.6e-02	-1.077e+03	1.4e+01	>7.5e+00	-2.472e+04	3.2e+02	>1.7e+02	5.08	1.2e-01	4.22e+01	1.0e+00	2.09e+00	5.0e-02	1.46e-20	3.5e-22
NaAlSi3O8_T5_nvt_a26.5.outcar.umd.dat	4341	0.37	1.9e-14	3.2e-16	-7.13e-05	2.3e-01	4.9e-03	4998	290	>2.0e+01	4.31e-01	2.5e-02	>1.7e-03	-5.13e+00	7.6e-02	>4.3e-02	-1.067e+03	1.6e+01	>8.9e+00	-2.449e+04	3.6e+02	>2.0e+02	6.48	1.3e-01	5.39e+01	1.1e+00	2.67e+00	5.4e-02	1.86e-20	3.8e-22
NaAlSi3O8_T6_nvt_a15.0.outcar.umd.dat	5499	2.06	1.7e-13	8.2e-16	3.61e+00	1.3e+00	2.6e-02	5999	343	>1.8e+01	5.17e-01	3.0e-02	>1.6e-03	-5.25e+00	7.6e-02	>8.7e-03	-1.092e+03	1.6e+01	>1.8e+00	-2.508e+04	3.6e+02	>4.1e+01	4.52	9.0e-02	3.76e+01	7.5e-01	1.86e+00	3.7e-02	1.30e-20	2.6e-22
NaAlSi3O8_T6_nvt_a16.0.outcar.umd.dat	5499	1.70	9.2e-14	3.9e-16	1.54e+00	1.2e+00	2.2e-02	6000	378	>1.9e+01	5.17e-01	3.3e-02	>1.6e-03	-5.15e+00	8.8e-02	>1.3e-02	-1.071e+03	1.8e+01	>2.6e+00	-2.459e+04	4.2e+02	>6.0e+01	6.05	1.2e-01	5.03e+01	9.6e-01	2.50e+00	4.8e-02	1.74e-20	3.3e-22
NaAlSi3O8_T6_nvt_a17.0.outcar.umd.dat	4064	1.42	7.2e-14	2.5e-17	7.99e-01	9.1e-01	2.0e-02	6000	348	>2.2e+01	5.17e-01	3.0e-02	>1.9e-03	-5.06e+00	6.9e-02	>2.2e-02	-1.051e+03	1.4e+01	>4.6e+00	-2.415e+04	3.3e+02	>1.1e+02	3.72	6.9e-02	3.09e+01	5.7e-01	1.53e+00	2.8e-02	1.07e-20	2.0e-22
NaAlSi3O8_T6_nvt_a18.0.outcar.umd.dat	6266	1.19	9.3e-14	1.1e-15	3.58e-01	7.9e-01	1.4e-02	5991	313	>1.6e+01	5.16e-01	2.7e-02	>1.4e-03	-5.02e+00	7.1e-02	>1.4e-02	-1.043e+03	1.5e+01	>2.9e+00	-2.396e+04	3.4e+02	>6.7e+01	3.87	7.3e-02	3.22e+01	6.1e-01	1.60e+00	3.0e-02	1.11e-20	2.1e-22
NaAlSi3O8_T6_nvt_a19.0.outcar.umd.dat	7526	1.02	1.5e-13	8.5e-16	2.55e-01	6.5e-01	1.1e-02	5994	330	>1.6e+01	5.17e-01	2.8e-02	>1.4e-03	-4.95e+00	8.3e-02	>2.4e-02	-1.031e+03	1.7e+01	>5.0e+00	-2.367e+04	4.0e+02	>1.1e+02	5.35	8.1e-02	4.45e+01	6.7e-01	2.20e+00	3.3e-02	1.54e-20	2.3e-22
NaAlSi3O8_T6_nvt_a20.0.outcar.umd.dat	6071	0.87	7.4e-14	9.6e-16	2.05e-01	5.7e-01	1.0e-02	5994	336	>1.8e+01	5.17e-01	2.9e-02	>1.6e-03	-4.89e+00	6.4e-02	>1.9e-02	-1.018e+03	1.3e+01	>3.9e+00	-2.338e+04	3.1e+02	>9.0e+01	3.22	6.6e-02	2.68e+01	5.5e-01	1.33e+00	2.7e-02	9.24e-21	1.9e-22
NaAlSi3O8_T6_nvt_a21.0.outcar.umd.dat	4711	0.75	4.0e-14	6.5e-16	1.34e-01	5.2e-01	1.1e-02	5994	347	>2.1e+01	5.17e-01	3.0e-02	>1.8e-03	-4.87e+00	7.4e-02	>3.2e-02	-1.012e+03	1.5e+01	>6.7e+00	-2.324e+04	3.5e+02	>1.5e+02	4.28	8.6e-02	3.56e+01	7.1e-01	1.76e+00	3.5e-02	1.23e-20	2.5e-22
NaAlSi3O8_T6_nvt_a22.0.outcar.umd.dat	5018	0.65	3.4e-15	6.9e-17	1.56e-01	4.3e-01	8.6e-03	5991	296	>1.7e+01	5.16e-01	2.6e-02	>1.5e-03	-4.80e+00	7.2e-02	>3.2e-02	-9.983e+02	1.5e+01	>6.6e+00	-2.293e+04	3.4e+02	>1.5e+02	3.98	7.6e-02	3.31e+01	6.3e-01	1.64e+00	3.1e-02	1.14e-20	2.2e-22
NaAlSi3O8_T6_nvt_a23.0.outcar.umd.dat	4004	0.57	2.0e-14	7.7e-17	1.18e-01	3.9e-01	8.8e-03	5990	306	>2.0e+01	5.16e-01	2.6e-02	>1.7e-03	-4.79e+00	8.6e-02	>4.3e-02	-9.965e+02	1.8e+01	>8.9e+00	-2.289e+04	4.1e+02	>2.0e+02	5.80	1.3e-01	4.82e+01	1.1e+00	2.39e+00	5.5e-02	1.67e-20	3.9e-22
NaAlSi3O8_T6_nvt_a24.5.outcar.umd.dat	5134	0.47	5.3e-15	1.1e-16	1.30e-01	3.2e-01	6.3e-03	5990	322	>5.1e+01	5.16e-01	2.8e-02	>4.4e-03	-4.77e+00	6.5e-02	>3.7e-02	-9.924e+02	1.4e+01	>7.8e+00	-2.279e+04	3.1e+02	>1.8e+02	3.30	6.7e-02	2.74e+01	5.6e-01	1.36e+00	2.8e-02	9.48e-21	1.9e-22
NaAlSi3O8_T6_nvt_a26.5.outcar.umd.dat	5100	0.37	2.0e-14	3.2e-16	1.30e-01	2.3e-01	4.6e-03	5990	288	>1.8e+01	5.16e-01	2.5e-02	>1.6e-03	-4.56e+00	9.4e-02	>3.7e-02	-9.490e+02	2.0e+01	>7.7e+00	-2.179e+04	4.5e+02	>1.8e+02	6.92	1.1e-01	5.76e+01	9.5e-01	2.85e+00	4.7e-02	1.99e-20	3.3e-22
NaAlSi3O8_T6.5_nvt_a15.0.outcar.umd.dat	3999	2.06	1.2e-13	1.2e-15	4.31e+00	1.4e+00	3.1e-02	6488	390	>2.3e+01	5.59e-01	3.4e-02	>2.0e-03	-5.06e+00	8.4e-02	>2.6e-02	-1.053e+03	1.7e+01	>5.5e+00	-2.418e+04	4.0e+02	>1.3e+02	4.68	1.0e-01	3.90e+01	8.7e-01	1.93e+00	4.3e-02	1.35e-20	3.0e-22
NaAlSi3O8_T6.5_nvt_a16.0.outcar.umd.dat	3999	1.70	2.1e-14	4.4e-16	2.02e+00	1.2e+00	2.7e-02	6489	400	>2.6e+01	5.59e-01	3.4e-02	>2.2e-03	-4.95e+00	7.7e-02	>9.1e-03	-1.029e+03	1.6e+01	>1.9e+00	-2.363e+04	3.7e+02	>4.4e+01	3.93	7.6e-02	3.27e+01	6.4e-01	1.62e+00	3.2e-02	1.13e-20	2.2e-22
NaAlSi3O8_T6.5_nvt_a17.0.outcar.umd.dat	3999	1.42	6.8e-14	7.0e-17	1.04e+00	1.1e+00	2.4e-02	6490	376	>2.4e+01	5.59e-01	3.2e-02	>2.1e-03	-4.85e+00	7.7e-02	>2.0e-02	-1.009e+03	1.6e+01	>4.2e+00	-2.317e+04	3.7e+02	>9.6e+01	3.95	1.0e-01	3.29e+01	8.4e-01	1.63e+00	4.1e-02	1.14e-20	2.9e-22
