elements	Na	Al	Si	O
number	16	16	48	128
file	P(GPa)	D_Na(m^2/s)	D_Al(m^2/s)	D_Si(m^2/s)	D_O(m^2/s)
NaAlSi3O8_T5_nvt_a19.0.outcar	-0.0458	1.25609209041e-07	2.02195726552e-08	5.81032604129e-08	5.95115700135e-08
NaAlSi3O8_T6_nvt_a12.0.outcar	61.4	2.22398957788e-08	1.03619647173e-08	1.32510585225e-08	1.46082584511e-08
NaAlSi3O8_T6_nvt_a12.5.outcar	38.6	2.31621925349e-08	1.83643310192e-08	1.82680776333e-08	2.1796001755e-08
NaAlSi3O8_T6_nvt_a13.0.outcar	24.0	4.41326741692e-08	2.72767869399e-08	2.56288435922e-08	2.40467578637e-08
NaAlSi3O8_T6_nvt_a13.5.outcar	15.1	4.03339543763e-08	3.03907174638e-08	2.86510084225e-08	2.56244267335e-08
NaAlSi3O8_T6_nvt_a14.0.outcar	9.4	4.87854301128e-08	3.80297422474e-08	3.37516421294e-08	3.96536421229e-08
NaAlSi3O8_T6_nvt_a14.5.outcar	5.9	6.20167806597e-08	5.29342822353e-08	3.4276452222e-08	4.30178270417e-08
NaAlSi3O8_T6_nvt_a15.0.outcar	3.74	9.79521418327e-08	3.09220990751e-08	3.2997146194e-08	4.06961432702e-08
NaAlSi3O8_T6_nvt_a15.5.outcar	2.44	7.97428755664e-08	6.51540526598e-08	4.82559031045e-08	5.18010990512e-08
NaAlSi3O8_T6_nvt_a16.0.outcar	1.63	9.01558058703e-08	4.76614841847e-08	4.86769727865e-08	5.6606415683e-08
NaAlSi3O8_T6_nvt_a16.5.outcar	1.15	1.59554883527e-07	3.71702335135e-08	7.9821531709e-08	6.3718081239e-08
NaAlSi3O8_T6_nvt_a17.0.outcar	0.862	1.0484296677e-07	5.48108609177e-08	8.63006989248e-08	7.42997523698e-08
NaAlSi3O8_T6_nvt_a17.5.outcar	0.653	1.39887512874e-07	7.11900883227e-08	8.6228816221e-08	9.41274666181e-08
NaAlSi3O8_T6_nvt_a18.0.outcar	0.476	1.81408501091e-07	3.16270706309e-08	8.64834649367e-08	9.03778995468e-08
NaAlSi3O8_T6_nvt_a18.5.outcar	0.392	1.76794594778e-07	9.64919133141e-08	6.44809442466e-08	1.13293713846e-07
NaAlSi3O8_T6_nvt_a19.0.outcar	0.354	2.33689824023e-07	8.4351529399e-08	8.99192708122e-08	1.19948465664e-07
NaAlSi3O8_T7_nvt_a15.0.outcar	5.22	1.07504120366e-07	3.21977178623e-08	4.04904953363e-08	7.6429990288e-08
NaAlSi3O8_T7_nvt_a16.0.outcar	2.62	1.28946002086e-07	3.55020120414e-08	9.49992842963e-08	7.74407080356e-08
NaAlSi3O8_T7_nvt_a17.0.outcar	1.52	2.70255125818e-07	8.20331731327e-08	1.06271366224e-07	9.48875913743e-08
NaAlSi3O8_T7_nvt_a17.5.outcar	1.2	1.22799668376e-07	1.0564296253e-07	1.25985424019e-07	1.34206810006e-07
NaAlSi3O8_T7_nvt_a18.0.outcar	0.965	2.47945104775e-07	9.89927147107e-08	1.2530256363e-07	1.34958160684e-07
NaAlSi3O8_T7_nvt_a18.5.outcar	0.831	2.08405133542e-07	1.12138881391e-07	1.62929519894e-07	1.23048955971e-07
NaAlSi3O8_T7_nvt_a19.0.outcar	0.72	1.81846514755e-07	1.20325372335e-07	1.79613746166e-07	1.61790583198e-07
