elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T3_nvt_a18.5.outcar.umd.dat	17022	1.10	4.3e-14	1.9e-15	-4.71e-01	6.0e-01	6.5e-03	2969	170	>4.0e+00	2.56e-01	1.5e-02	>3.4e-04	-6.39e+00	4.3e-02	>1.8e-02	-1.328e+03	9.0e+00	>3.8e+00	-3.051e+04	2.1e+02	>8.7e+01	5.87	5.7e-02	4.88e+01	4.7e-01	2.42e+00	2.3e-02	1.69e-20	1.6e-22
NaAlSi3O8_T3_nvt_a19.0.outcar.umd.dat	15255	1.02	2.6e-13	1.7e-15	-4.71e-01	5.5e-01	6.3e-03	2981	168	>1.3e+01	2.57e-01	1.5e-02	>1.1e-03	-6.38e+00	3.6e-02	2.2e-03	-1.327e+03	7.5e+00	4.5e-01	-3.047e+04	1.7e+02	1.0e+01	4.11	4.6e-02	3.41e+01	3.8e-01	1.69e+00	1.9e-02	1.18e-20	1.3e-22
NaAlSi3O8_T4.5_nvt_a15.0.outcar.umd.dat	17186	2.06	7.2e-13	8.9e-16	1.68e+00	1.3e+00	1.4e-02	4500	256	>7.3e+00	3.88e-01	2.2e-02	>6.3e-04	-5.87e+00	5.9e-02	>6.3e-03	-1.222e+03	1.2e+01	>1.3e+00	-2.806e+04	2.8e+02	>3.0e+01	4.86	5.1e-02	4.04e+01	4.3e-01	2.00e+00	2.1e-02	1.40e-20	1.5e-22
NaAlSi3O8_T4.5_nvt_a15.5.outcar.umd.dat	15500	1.87	5.6e-13	3.5e-15	8.59e-01	1.1e+00	1.3e-02	4500	253	>7.8e+00	3.88e-01	2.2e-02	>6.7e-04	-5.81e+00	5.9e-02	>6.7e-03	-1.209e+03	1.2e+01	>1.4e+00	-2.777e+04	2.8e+02	>3.2e+01	4.87	5.2e-02	4.05e+01	4.4e-01	2.01e+00	2.2e-02	1.40e-20	1.5e-22
NaAlSi3O8_T4.5_nvt_a16.0.outcar.umd.dat	19330	1.70	2.5e-13	4.4e-15	2.90e-01	1.1e+00	1.1e-02	4500	241	>1.5e+01	3.88e-01	2.1e-02	>1.3e-03	-5.79e+00	5.4e-02	>4.6e-03	-1.205e+03	1.1e+01	>9.5e-01	-2.767e+04	2.6e+02	>2.2e+01	4.01	4.2e-02	3.34e+01	3.5e-01	1.65e+00	1.8e-02	1.15e-20	1.2e-22
NaAlSi3O8_T4.5_nvt_a16.5.outcar.umd.dat	17387	1.55	3.1e-13	1.1e-15	9.53e-02	1.0e+00	1.1e-02	4500	259	>7.8e+00	3.88e-01	2.2e-02	>6.7e-04	-5.76e+00	5.8e-02	>7.2e-03	-1.197e+03	1.2e+01	>1.5e+00	-2.749e+04	2.7e+02	>3.4e+01	4.56	5.1e-02	3.79e+01	4.2e-01	1.88e+00	2.1e-02	1.31e-20	1.5e-22
NaAlSi3O8_T4.5_nvt_a17.0.outcar.umd.dat	16298	1.42	2.6e-13	2.3e-15	3.03e-03	9.0e-01	1.0e-02	4500	266	>8.5e+00	3.88e-01	2.3e-02	>7.3e-04	-5.72e+00	6.4e-02	>6.3e-03	-1.190e+03	1.3e+01	>1.3e+00	-2.734e+04	3.1e+02	>3.0e+01	5.63	6.7e-02	4.68e+01	5.6e-01	2.32e+00	2.8e-02	1.62e-20	1.9e-22
NaAlSi3O8_T4.5_nvt_a17.5.outcar.umd.dat	15540	1.30	3.8e-13	3.8e-16	-1.47e-01	8.3e-01	9.4e-03	4499	247	>8.1e+00	3.88e-01	2.1e-02	>7.0e-04	-5.71e+00	6.0e-02	>6.7e-03	-1.188e+03	1.2e+01	>1.4e+00	-2.728e+04	2.9e+02	>3.2e+01	4.96	5.4e-02	4.12e+01	4.5e-01	2.04e+00	2.2e-02	1.42e-20	1.5e-22
NaAlSi3O8_T4.5_nvt_a18.0.outcar.umd.dat	16178	1.19	2.1e-13	1.5e-15	-1.67e-01	7.4e-01	8.2e-03	4500	259	>8.4e+00	3.88e-01	2.2e-02	>7.2e-04	-5.68e+00	6.3e-02	>8.7e-03	-1.182e+03	1.3e+01	>1.8e+00	-2.715e+04	3.0e+02	>4.1e+01	5.52	6.0e-02	4.59e+01	5.0e-01	2.28e+00	2.5e-02	1.59e-20	1.7e-22
NaAlSi3O8_T4.5_nvt_a18.5.outcar.umd.dat	16061	1.10	1.3e-13	1.8e-15	-1.60e-01	6.8e-01	7.6e-03	4500	249	>8.2e+00	3.88e-01	2.1e-02	>7.1e-04	-5.66e+00	5.5e-02	>8.7e-03	-1.178e+03	1.1e+01	>1.8e+00	-2.704e+04	2.6e+02	>4.1e+01	4.18	4.4e-02	3.47e+01	3.7e-01	1.72e+00	1.8e-02	1.20e-20	1.3e-22
