Ab solidus	Bell1969s	Ab-J+Qz	Bell1969	Jadeite solidus	Litvin1993	Ab-J+Qz	Newton1967	SiO2 solidus	Zhang1996s	Co-St	Zhang1996	HP solidus	Tsuchiya2011
P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)
3.189399567	1684.834876			11.9062764	2469.144763	2.136123833	1074.69385	19.48031787	3703.590942				
3.227678399	1686.702313			12.07037895	2478.974696	2.172444838	1088.834067	19.82559115	3728.814544				
3.26047498	1687.385441			12.23569644	2489.584811	2.207485368	1102.972258	20.17092617	3752.07131				
3.286742555	1684.947092			12.38687466	2497.627604	2.248521368	1116.894012	20.51623804	3776.065639				
3.308701732	1681.565975			12.56275125	2506.85096	2.279378896	1131.251508	20.86165026	3796.863858				
3.319685421	1676.740333			12.72688901	2515.802029	2.32071182	1145.399658	21.20700845	3819.38306				
3.328985508	1670.07583			12.89097862	2525.955001	2.357849814	1159.541169	21.5523126	3843.623244				
3.335389443	1663.714334			13.05515721	2533.886741	2.395956796	1173.684213	21.89767079	3866.142446				
3.339838703	1656.097388			13.21932765	2542.021858	2.427529007	1183.97617	22.24306757	3887.432374				
				13.38464505	2552.634224			22.58846435	3908.722303				
				13.54756729	2560.81972			22.93398464	3926.078558				
				13.72493081	2568.999783			23.27943545	3945.647504				
				13.87039276	2577.238874			23.62484767	3966.445724				
				14.04011468	2584.32447			23.97035252	3984.293688				
				14.20426882	2592.866343			24.31577246	4004.846052				
				14.36843112	2601.204839			24.66122328	4024.414999				
				14.53260156	2609.339957			24.96927333	4042.657946				
				14.69675299	2617.949623								
				14.86091528	2626.288118								
				15.02506671	2634.897785								
				15.18923172	2643.168488								
				15.35341302	2651.032435								
				15.51759432	2658.896382								
				15.68177019	2666.895914								
				15.84593792	2675.098824								
				16.02503541	2683.911868								
				16.18920856	2691.979193								
				16.35339801	2699.639762								
				16.51758746	2707.300332								
				16.68178233	2714.825315								
				16.91108464	2723.478241								
