elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T20_nvt_a12.1_hard.outcar.umd.dat	1300	3.93	6.2e-15	2.4e-16	1.40e+02	3.9e+00	5.1e-01	19993	1063	>1.8e+02	1.72e+00	9.2e-02	>1.6e-02	-1.88e-01	1.7e-01	>2.3e-02	-3.913e+01	3.6e+01	>4.8e+00	-8.987e+02	8.3e+02	>1.1e+02	2.09	9.1e-02	1.74e+01	7.5e-01	8.62e-01	3.7e-02	6.00e-21	2.6e-22
NaAlSi3O8_T20_nvt_a12.1_hard_old.outcar.umd.dat	2335	3.93	9.1e-14	1.8e-16	1.40e+02	4.4e+00	4.1e-01	19984	1276	>1.0e+02	1.72e+00	1.1e-01	>8.6e-03	-1.66e-01	2.0e-01	>2.6e-02	-3.453e+01	4.2e+01	>5.5e+00	-7.929e+02	9.6e+02	>1.3e+02	2.84	9.1e-02	2.36e+01	7.6e-01	1.17e+00	3.8e-02	8.16e-21	2.6e-22
NaAlSi3O8_T20_nvt_a13.4_hard.outcar.umd.dat	847	2.90	5.3e-15	1.1e-15	6.81e+01	2.2e+00	2.7e-01	20032	838	>9.9e+01	1.73e+00	7.2e-02	>8.5e-03	-4.29e-01	1.1e-01	>1.7e-02	-8.928e+01	2.4e+01	>3.5e+00	-2.050e+03	5.4e+02	>8.0e+01	0.89	3.8e-02	7.39e+00	3.2e-01	3.66e-01	1.6e-02	2.55e-21	1.1e-22
NaAlSi3O8_T20_nvt_a13.4_hard_old.outcar.umd.dat	2252	2.90	5.2e-14	1.5e-15	6.85e+01	3.1e+00	3.1e-01	19982	1110	>9.8e+01	1.72e+00	9.6e-02	>8.4e-03	-4.32e-01	1.8e-01	>2.1e-02	-8.992e+01	3.7e+01	>4.3e+00	-2.065e+03	8.5e+02	>9.9e+01	2.23	6.6e-02	1.85e+01	5.5e-01	9.18e-01	2.7e-02	6.39e-21	1.9e-22
NaAlSi3O8_T3_nvt_a10.5_hard.outcar.umd.dat	9202	6.02	1.5e-12	4.2e-16	2.35e+02	2.1e+00	5.9e-02	3000	180	>6.5e+00	2.59e-01	1.6e-02	>5.6e-04	-4.70e+00	3.5e-02	1.1e-03	-9.766e+02	7.3e+00	2.3e-01	-2.243e+04	1.7e+02	5.3e+00	3.87	5.1e-02	3.21e+01	4.2e-01	1.59e+00	2.1e-02	1.11e-20	1.5e-22
NaAlSi3O8_T3_nvt_a10.75_hard.outcar.umd.dat	7821	5.61	1.6e-13	2.5e-15	1.79e+02	2.2e+00	1.3e-01	3000	162	>6.0e+00	2.59e-01	1.4e-02	>5.2e-04	-5.16e+00	3.2e-02	>7.7e-03	-1.074e+03	6.6e+00	>1.6e+00	-2.466e+04	1.5e+02	>3.7e+01	3.15	5.2e-02	2.62e+01	4.3e-01	1.30e+00	2.1e-02	9.05e-21	1.5e-22
NaAlSi3O8_T3_nvt_a11.0_hard.outcar.umd.dat	9119	5.23	8.0e-13	4.5e-15	1.35e+02	1.9e+00	5.5e-02	2986	169	>6.1e+00	2.57e-01	1.5e-02	>5.3e-04	-5.52e+00	3.3e-02	1.0e-03	-1.148e+03	6.8e+00	2.1e-01	-2.637e+04	1.6e+02	4.8e+00	3.33	5.3e-02	2.77e+01	4.4e-01	1.37e+00	2.2e-02	9.56e-21	1.5e-22
NaAlSi3O8_T3_nvt_a11.5_hard.outcar.umd.dat	7174	4.58	7.9e-13	1.7e-15	7.62e+01	1.6e+00	3.8e-02	2988	177	>2.1e+01	2.58e-01	1.5e-02	>1.8e-03	-6.01e+00	3.4e-02	>6.7e-03	-1.250e+03	7.1e+00	>1.4e+00	-2.871e+04	1.6e+02	>3.2e+01	3.66	5.9e-02	3.04e+01	4.9e-01	1.51e+00	2.4e-02	1.05e-20	1.7e-22
NaAlSi3O8_T3_nvt_a11.75_hard.outcar.umd.dat	9558	4.29	1.0e-12	4.3e-15	5.83e+01	2.0e+00	9.7e-02	2989	164	>6.1e+00	2.58e-01	1.4e-02	>5.3e-04	-6.12e+00	3.4e-02	2.0e-03	-1.273e+03	7.2e+00	4.1e-01	-2.924e+04	1.6e+02	9.4e+00	3.72	6.1e-02	3.09e+01	5.1e-01	1.53e+00	2.5e-02	1.07e-20	1.7e-22
NaAlSi3O8_T3_nvt_a12.0_hard.outcar.umd.dat	5379	4.03	4.3e-13	2.0e-15	4.35e+01	2.1e+00	2.4e-01	2989	170	>1.7e+01	2.58e-01	1.5e-02	>1.5e-03	-6.22e+00	3.2e-02	>9.6e-03	-1.294e+03	6.6e+00	>2.0e+00	-2.972e+04	1.5e+02	>4.6e+01	3.17	5.8e-02	2.63e+01	4.8e-01	1.31e+00	2.4e-02	9.10e-21	1.7e-22
NaAlSi3O8_T3_nvt_a12.25_hard.outcar.umd.dat	6957	3.79	5.9e-13	5.3e-15	3.34e+01	2.0e+00	9.0e-02	2991	169	>7.6e+00	2.58e-01	1.5e-02	>6.5e-04	-6.29e+00	3.5e-02	>1.0e-02	-1.308e+03	7.3e+00	>2.1e+00	-3.003e+04	1.7e+02	>4.8e+01	3.88	6.6e-02	3.23e+01	5.5e-01	1.60e+00	2.7e-02	1.11e-20	1.9e-22
NaAlSi3O8_T3_nvt_a12.5_hard.outcar.umd.dat	5280	3.57	5.1e-13	2.2e-15	2.61e+01	1.8e+00	6.8e-02	2991	179	>9.6e+00	2.58e-01	1.5e-02	>8.3e-04	-6.33e+00	4.1e-02	>6.3e-03	-1.317e+03	8.4e+00	>1.3e+00	-3.025e+04	1.9e+02	>3.0e+01	5.13	1.2e-01	4.27e+01	9.9e-01	2.12e+00	4.9e-02	1.47e-20	3.4e-22
NaAlSi3O8_T3_nvt_a14.5_hard.outcar.umd.dat	6290	2.28	1.2e-13	1.7e-15	1.92e+00	1.2e+00	2.1e-02	2993	166	>1.5e+01	2.58e-01	1.4e-02	>1.3e-03	-6.54e+00	3.5e-02	>1.3e-02	-1.360e+03	7.3e+00	>2.7e+00	-3.123e+04	1.7e+02	>6.2e+01	3.80	6.1e-02	3.16e+01	5.1e-01	1.57e+00	2.5e-02	1.09e-20	1.8e-22
NaAlSi3O8_T3_nvt_a14.6_hard.outcar.umd.dat	3265	2.24	1.7e-13	6.6e-16	1.76e+00	1.2e+00	2.9e-02	2991	187	>1.4e+01	2.58e-01	1.6e-02	>1.2e-03	-6.55e+00	3.8e-02	4.1e-03	-1.363e+03	7.9e+00	8.6e-01	-3.131e+04	1.8e+02	2.0e+01	4.54	9.4e-02	3.78e+01	7.8e-01	1.87e+00	3.9e-02	1.30e-20	2.7e-22
NaAlSi3O8_T3_nvt_rho2.26_hard.outcar.umd.dat	2172	2.26	1.2e-13	8.9e-16	2.04e+00	1.1e+00	3.2e-02	2993	165	>1.4e+01	2.58e-01	1.4e-02	>1.2e-03	-6.53e+00	3.6e-02	>5.3e-03	-1.358e+03	7.6e+00	>1.1e+00	-3.118e+04	1.7e+02	>2.5e+01	4.14	1.2e-01	3.44e+01	9.7e-01	1.71e+00	4.8e-02	1.19e-20	3.4e-22
NaAlSi3O8_T4_nvt_a10.5_hard.outcar.umd.dat	8768	6.02	1.4e-12	4.3e-16	2.41e+02	2.6e+00	1.0e-01	4000	226	>7.3e+00	3.45e-01	1.9e-02	>6.3e-04	-4.41e+00	4.2e-02	1.3e-03	-9.175e+02	8.7e+00	2.8e-01	-2.107e+04	2.0e+02	6.4e+00	3.03	4.7e-02	2.52e+01	3.9e-01	1.25e+00	1.9e-02	8.71e-21	1.3e-22
NaAlSi3O8_T4_nvt_a10.75_hard.outcar.umd.dat	8093	5.61	1.7e-13	2.4e-15	1.87e+02	2.5e+00	1.0e-01	4001	238	>8.3e+00	3.45e-01	2.0e-02	>7.2e-04	-4.85e+00	4.7e-02	>9.6e-03	-1.010e+03	9.8e+00	>2.0e+00	-2.319e+04	2.3e+02	>4.6e+01	3.88	6.4e-02	3.23e+01	5.3e-01	1.60e+00	2.6e-02	1.12e-20	1.8e-22
NaAlSi3O8_T4_nvt_a11.0_hard.outcar.umd.dat	7246	5.23	1.6e-13	4.7e-15	1.45e+02	2.6e+00	>1.0e+00	3981	227	>8.5e+00	3.43e-01	2.0e-02	>7.3e-04	-5.18e+00	4.8e-02	>2.1e-02	-1.078e+03	1.0e+01	>4.3e+00	-2.475e+04	2.3e+02	>9.9e+01	4.13	6.5e-02	3.44e+01	5.4e-01	1.70e+00	2.7e-02	1.19e-20	1.9e-22
NaAlSi3O8_T4_nvt_a11.5_hard.outcar.umd.dat	5330	4.58	4.8e-13	2.0e-15	8.53e+01	2.3e+00	1.2e-01	3984	219	>9.1e+00	3.43e-01	1.9e-02	>7.8e-04	-5.63e+00	4.2e-02	>6.3e-03	-1.171e+03	8.7e+00	>1.3e+00	-2.689e+04	2.0e+02	>3.0e+01	3.11	6.0e-02	2.59e+01	5.0e-01	1.28e+00	2.5e-02	8.94e-21	1.7e-22
